INSERT INTO asistencia (as_fecha_entrada, as_fecha_salida,e_id) VALUES 
(to_timestamp('01-06-2018 06:08', 'DD-MM-YYYY HH24:MI'),to_timestamp('01-06-2018 17:54', 'DD-MM-YYYY HH24:MI'),1),
(to_timestamp('02-06-2018 06:53', 'DD-MM-YYYY HH24:MI'),to_timestamp('02-06-2018 17:56', 'DD-MM-YYYY HH24:MI'),1),
(to_timestamp('03-06-2018 06:49', 'DD-MM-YYYY HH24:MI'),to_timestamp('03-06-2018 13:48', 'DD-MM-YYYY HH24:MI'),1),
(to_timestamp('04-06-2018 09:31', 'DD-MM-YYYY HH24:MI'),to_timestamp('04-06-2018 19:26', 'DD-MM-YYYY HH24:MI'),1),
(to_timestamp('05-06-2018 08:29', 'DD-MM-YYYY HH24:MI'),to_timestamp('05-06-2018 12:02', 'DD-MM-YYYY HH24:MI'),1),
(to_timestamp('06-06-2018 06:53', 'DD-MM-YYYY HH24:MI'),to_timestamp('06-06-2018 12:53', 'DD-MM-YYYY HH24:MI'),1),
(to_timestamp('07-06-2018 06:45', 'DD-MM-YYYY HH24:MI'),to_timestamp('07-06-2018 14:17', 'DD-MM-YYYY HH24:MI'),1),
(to_timestamp('08-06-2018 05:15', 'DD-MM-YYYY HH24:MI'),to_timestamp('08-06-2018 14:55', 'DD-MM-YYYY HH24:MI'),1),
(to_timestamp('09-06-2018 08:12', 'DD-MM-YYYY HH24:MI'),to_timestamp('09-06-2018 14:31', 'DD-MM-YYYY HH24:MI'),1),
(to_timestamp('10-06-2018 06:43', 'DD-MM-YYYY HH24:MI'),to_timestamp('10-06-2018 12:45', 'DD-MM-YYYY HH24:MI'),1),
(to_timestamp('11-06-2018 06:00', 'DD-MM-YYYY HH24:MI'),to_timestamp('11-06-2018 12:25', 'DD-MM-YYYY HH24:MI'),1),
(to_timestamp('12-06-2018 08:19', 'DD-MM-YYYY HH24:MI'),to_timestamp('12-06-2018 14:55', 'DD-MM-YYYY HH24:MI'),1),
(to_timestamp('13-06-2018 06:53', 'DD-MM-YYYY HH24:MI'),to_timestamp('13-06-2018 15:58', 'DD-MM-YYYY HH24:MI'),1),
(to_timestamp('14-06-2018 06:42', 'DD-MM-YYYY HH24:MI'),to_timestamp('14-06-2018 13:31', 'DD-MM-YYYY HH24:MI'),1),
(to_timestamp('15-06-2018 09:14', 'DD-MM-YYYY HH24:MI'),to_timestamp('15-06-2018 12:48', 'DD-MM-YYYY HH24:MI'),1),
(to_timestamp('16-06-2018 07:30', 'DD-MM-YYYY HH24:MI'),to_timestamp('16-06-2018 12:01', 'DD-MM-YYYY HH24:MI'),1),
(to_timestamp('17-06-2018 08:08', 'DD-MM-YYYY HH24:MI'),to_timestamp('17-06-2018 19:12', 'DD-MM-YYYY HH24:MI'),1),
(to_timestamp('18-06-2018 08:21', 'DD-MM-YYYY HH24:MI'),to_timestamp('18-06-2018 13:57', 'DD-MM-YYYY HH24:MI'),1),
