INSERT INTO jur_lug (l_id,cj_id,jl_tipo) VALUES 
(1450,1,'fiscal')
(493,1,'fisica')
(1473,2,'fiscal')
(879,2,'fisica')
(845,3,'fiscal')
(1588,3,'fisica')
(1562,4,'fiscal')
(1262,4,'fisica')
(1011,5,'fiscal')
(577,5,'fisica')
(1515,6,'fiscal')
(554,6,'fisica')
(1458,7,'fiscal')
(1514,7,'fisica')
(837,8,'fiscal')
(558,8,'fisica')
(806,9,'fiscal')
(1394,9,'fisica')
(1259,10,'fiscal')
(1379,10,'fisica')
(1129,11,'fiscal')
(648,11,'fisica')
(521,12,'fiscal')
(860,12,'fisica')
(576,13,'fiscal')
(1322,13,'fisica')
(471,14,'fiscal')
(747,14,'fisica')
(1228,15,'fiscal')
(817,15,'fisica')
(688,16,'fiscal')
(1221,16,'fisica')
(1518,17,'fiscal')
(530,17,'fisica')
(744,18,'fiscal')
(924,18,'fisica')
(1411,19,'fiscal')
(512,19,'fisica')
(662,20,'fiscal')
(1486,20,'fisica')
(876,21,'fiscal')
(1348,21,'fisica')
(975,22,'fiscal')
(799,22,'fisica')
(1178,23,'fiscal')
(1304,23,'fisica')
(1364,24,'fiscal')
(1578,24,'fisica')
(1388,25,'fiscal')
(605,25,'fisica')
(850,26,'fiscal')
(545,26,'fisica')
(1532,27,'fiscal')
(1490,27,'fisica')
(1334,28,'fiscal')
(690,28,'fisica')
(467,29,'fiscal')
(1325,29,'fisica')
(883,30,'fiscal')
(1348,30,'fisica')
(785,31,'fiscal')
(1200,31,'fisica')
(1071,32,'fiscal')
(953,32,'fisica')
(953,33,'fiscal')
(1206,33,'fisica')
(1025,34,'fiscal')
(1524,34,'fisica')
(661,35,'fiscal')
(1382,35,'fisica')
(703,36,'fiscal')
(743,36,'fisica')
(1540,37,'fiscal')
(959,37,'fisica')
(1258,38,'fiscal')
(1207,38,'fisica')
(717,39,'fiscal')
(1055,39,'fisica')
(1594,40,'fiscal')
(1244,40,'fisica')
(848,41,'fiscal')
(671,41,'fisica')
(1377,42,'fiscal')
(587,42,'fisica')
(1521,43,'fiscal')
(1466,43,'fisica')
(1456,44,'fiscal')
(877,44,'fisica')
(1591,45,'fiscal')
(472,45,'fisica')
(1222,46,'fiscal')
(1595,46,'fisica')
(1134,47,'fiscal')
(1143,47,'fisica')
(1573,48,'fiscal')
(718,48,'fisica')
(1564,49,'fiscal')
(953,49,'fisica')
(1147,50,'fiscal')
(838,50,'fisica')
(581,51,'fiscal')
(965,51,'fisica')
(1079,52,'fiscal')
(1353,52,'fisica')
(1231,53,'fiscal')
(1211,53,'fisica')
(1251,54,'fiscal')
(1009,54,'fisica')
(1257,55,'fiscal')
(974,55,'fisica')
(764,56,'fiscal')
(663,56,'fisica')
(1367,57,'fiscal')
(748,57,'fisica')
(1519,58,'fiscal')
(642,58,'fisica')
(798,59,'fiscal')
(1398,59,'fisica')
(875,60,'fiscal')
(481,60,'fisica')
(786,61,'fiscal')
(763,61,'fisica')
(1526,62,'fiscal')
(494,62,'fisica')
(1261,63,'fiscal')
(1434,63,'fisica')
(1263,64,'fiscal')
(1495,64,'fisica')
(1476,65,'fiscal')
(1259,65,'fisica')
(1427,66,'fiscal')
(859,66,'fisica')
(753,67,'fiscal')
(1377,67,'fisica')
(1583,68,'fiscal')
(813,68,'fisica')
(1032,69,'fiscal')
(670,69,'fisica')
(778,70,'fiscal')
(1154,70,'fisica')
(970,71,'fiscal')
(1332,71,'fisica')
(818,72,'fiscal')
(1252,72,'fisica')
(907,73,'fiscal')
(478,73,'fisica')
(503,74,'fiscal')
(1265,74,'fisica')
(477,75,'fiscal')
(1186,75,'fisica')
(1185,76,'fiscal')
(1530,76,'fisica')
(1311,77,'fiscal')
(1372,77,'fisica')
(1594,78,'fiscal')
(725,78,'fisica')
(1244,79,'fiscal')
(915,79,'fisica')
(831,80,'fiscal')
(1550,80,'fisica')
(891,81,'fiscal')
(1430,81,'fisica')
(718,82,'fiscal')
(1201,82,'fisica')
