INSERT INTO puntos (car_id,h_id) VALUES 
(1,4),
(2,9),
(3,2),
(4,6),
(5,6),
(6,1),
(7,4),
(8,6),
(9,1),
(10,9),
(11,9),
(12,6),
(13,2),
(14,2),
(15,10),
(16,5),
(17,4),
(18,2),
(19,3),
(20,4),
(21,2),
(22,10),
(23,3),
(24,4),
(25,4),
(26,9),
(27,4),
(28,10),
(29,3),
(30,1),
(31,2),
(32,9),
(33,5),
(34,5),
(35,7),
(36,6),
(37,9),
(38,8),
(39,10),
(40,5),
(41,4),
(42,3),
(43,3),
(44,4),
(45,3),
(46,3),
(47,7),
(48,7),
(49,3),
(50,3),
(51,7),
(52,10),
(53,4),
(54,10),
(55,9),
(56,8),
(57,1),
(58,10),
(59,2),
(60,6),
(61,10),
(62,4),
(63,5),
(64,4),
(65,7),
(66,6),
(67,10),
(68,2),
(69,1),
(70,2),
(71,7),
(72,7),
(73,5),
(74,8),
(75,4),
(76,6),
(77,3),
(78,5),
(79,6),
(80,7),
(81,5),
(82,9),
(83,8),
(84,9),
(85,3),
(86,2),
(87,9),
(88,7),
(89,10),
(90,5),
(91,10),
(92,1),
(93,1),
(94,7),
(95,4),
(96,10),
(97,6),
(98,2),
(99,7),
(100,9),
(101,3),
(102,1),
(103,2),
(104,2),
(105,9),
(106,5),
(107,7),
(108,9),
(109,1),
(110,8),
(111,5),
(112,9),
(113,10),
(114,1),
(115,2),
(116,10),
(117,2),
(118,5),
(119,3),
(120,2),
(121,6),
(122,1),
(123,2),
(124,10),
(125,3),
(126,6),
(127,4),
(128,4),
(129,8),
(130,10),
(131,9),
(132,4),
(133,6),
(134,2),
(135,9),
(136,5),
(137,3),
(138,9),
(139,5),
(140,6),
(141,10),
(142,8),
(143,4),
(144,2),
(145,3),
(146,5),
(147,9),
(148,5),
(149,9),
(150,5),
(151,5),
(152,5),
(153,7),
(154,2),
(155,4),
(156,6),
(157,10),
(158,10),
(159,4),
(160,5),
(161,5),
(162,2),
(163,1),
(164,5),
